Date,Open,High,Low,Close,Adj Close
11/1/2003,10693.66016,10869.34961,9614.599609,10100.57031,10100.57031
12/1/2003,10006.12988,10681.28027,9859,10676.63965,10676.63965
1/1/2004,10787.83008,11193.63965,10665.15039,10783.61035,10783.61035
2/1/2004,10784.92969,11069.28027,10299.42969,11041.91992,11041.91992
3/1/2004,11112.67969,11869,11045.94043,11715.38965,11715.38965
4/1/2004,11756.16016,12195.66016,11623.65039,11761.79004,11761.79004
5/1/2004,11777.44043,11785.25977,10489.83984,11236.37012,11236.37012
6/1/2004,11204.69043,11887.9502,10963.55957,11858.87012,11858.87012
7/1/2004,11933.33008,11988.12012,11018.79004,11325.78027,11325.78027
8/1/2004,11274.4502,11279.70996,10545.88965,11081.79004,11081.79004
9/1/2004,11104.84961,11357.84961,10737.78027,10823.57031,10823.57031
10/1/2004,10893.19043,11410.40039,10575.23047,10771.41992,10771.41992
11/1/2004,10731.01953,11268.80957,10690.9502,10899.25,10899.25
12/1/2004,10790.4502,11500.9502,10721.58984,11488.75977,11488.75977
1/1/2005,11458.26953,11580.69043,11212.62988,11387.58984,11387.58984
2/1/2005,11422.01953,11754.90039,11271.04004,11740.59961,11740.59961
3/1/2005,11734.13965,11975.45996,11506.84961,11668.9502,11668.9502
4/1/2005,11590.4502,11911.90039,10770.58008,11008.90039,11008.90039
5/1/2005,10954.20996,11302.51953,10788.58984,11276.58984,11276.58984
6/1/2005,11220.94043,11594.57031,11148.36035,11584.00977,11584.00977
7/1/2005,11573.37012,11913.5,11540.92969,11899.59961,11899.59961
8/1/2005,11907.41992,12612.16016,11614.70996,12413.59961,12413.59961
9/1/2005,12501.42969,13678.44043,12498.40039,13574.29981,13574.29981
10/1/2005,13566.2002,13783.59961,12996.29004,13606.5,13606.5
11/1/2005,13718.20996,15013.24023,13706.33008,14872.15039,14872.15039
12/1/2005,14914.75,16445.56055,14880.17969,16111.42969,16111.42969
1/1/2006,16294.65039,16754.59961,15059.51953,16649.82031,16649.82031
2/1/2006,16594.90039,16777.36914,15389.58008,16205.42969,16205.42969
3/1/2006,16026.82031,17125.64063,15553.13965,17059.66016,17059.66016
4/1/2006,17127.60938,17563.36914,16750.5,16906.23047,16906.23047
5/1/2006,16929.83008,17375.25,15442.53027,15467.33008,15467.33008
6/1/2006,15603.25,15789.30957,14045.53027,15505.17969,15505.17969
7/1/2006,15573.34961,15710.38965,14437.24023,15456.80957,15456.80957
8/1/2006,15387.51953,16244.83984,15154.05957,16140.75977,16140.75977
9/1/2006,16072.80957,16414.93945,15513.87012,16127.58008,16127.58008
10/1/2006,16169,16901.5293,16028.32031,16399.39063,16399.39063
11/1/2006,16338.71973,16512.50977,15615.55957,16274.33008,16274.33008
12/1/2006,16313.01953,17301.68945,16185.91992,17225.83008,17225.83008
1/1/2007,17322.5,17617.64063,16758.46094,17383.41992,17383.41992
2/1/2007,17377.0293,18300.39063,17199.66016,17604.11914,17604.11914
3/1/2007,17542.23047,17558.03906,16532.91016,17287.65039,17287.65039
4/1/2007,17346.25,17782.08008,16999.05078,17400.41016,17400.41016
5/1/2007,17396.30078,17875.75,17203.0293,17875.75,17875.75
6/1/2007,17949.91992,18297,17591.92969,18138.35938,18138.35938
7/1/2007,18139.03906,18295.26953,17042.66016,17248.89063,17248.89063
8/1/2007,17169.19922,17274.33008,15262.09961,16569.08984,16569.08984
9/1/2007,16511.07031,16929.25977,15610.65039,16785.68945,16785.68945
10/1/2007,16773.09961,17488.9707,16199.01953,16737.63086,16737.63086
11/1/2007,16812.90039,16887.03906,14669.84961,15680.66992,15680.66992
12/1/2007,15747.46973,16107.65039,14998.00977,15307.78027,15307.78027
1/1/2008,15155.73047,15156.66016,12572.67969,13592.46973,13592.46973
2/1/2008,13517.74023,14105.46973,12923.41992,13603.01953,13603.01953
3/1/2008,13412.87012,13413.62988,11691,12525.54004,12525.54004
4/1/2008,12539.79981,14003.28027,12521.83984,13849.99023,13849.99023
5/1/2008,13802.58984,14392.53027,13540.67969,14338.54004,14338.54004
6/1/2008,14342.95996,14601.26953,13453.34961,13481.37988,13481.37988
7/1/2008,13514.86035,13603.30957,12671.33984,13376.80957,13376.80957
8/1/2008,13276.57031,13468.80957,12631.94043,13072.87012,13072.87012
9/1/2008,12936.80957,12940.54981,11160.83008,11259.86035,11259.86035
10/1/2008,11396.61035,11456.63965,6994.899902,8576.980469,8576.980469
11/1/2008,8702.769531,9521.240234,7406.180176,8512.269531,8512.269531
12/1/2008,8464.360352,8859.55957,7849.839844,8859.55957,8859.55957
1/1/2009,8991.209961,9325.349609,7671.040039,7994.049805,7994.049805
2/1/2009,7908.509766,8257.709961,7155.160156,7568.419922,7568.419922
3/1/2009,7454.279785,8843.179688,7021.279785,8109.529785,8109.529785
4/1/2009,8173.359863,9068.799805,8084.620117,8828.259766,8828.259766
5/1/2009,8848.839844,9522.5,8827.129883,9522.5,9522.5
6/1/2009,9517.490234,10170.82031,9491.259766,9958.44043,9958.44043
7/1/2009,9889.339844,10359.07031,9050.330078,10356.83008,10356.83008
8/1/2009,10355.23047,10767,10142.21973,10492.53027,10492.53027
9/1/2009,10453.37012,10577.19043,9971.049805,10133.23047,10133.23047
10/1/2009,10072.63965,10397.69043,9628.669922,10034.74023,10034.74023
11/1/2009,9903.769531,9979.459961,9076.410156,9345.549805,9345.549805
12/1/2009,9281.820313,10707.50977,9233.200195,10546.44043,10546.44043
1/1/2010,10609.33984,10982.09961,10198.04004,10198.04004,10198.04004
2/1/2010,10212.36035,10449.75,9867.389648,10126.03027,10126.03027
3/1/2010,10128.73047,11147.62012,10116.86035,11089.94043,11089.94043
4/1/2010,11178.91992,11408.16992,10865.91992,11057.40039,11057.40039
5/1/2010,10847.90039,10847.90039,9395.290039,9768.700195,9768.700195
6/1/2010,9747.259766,10251.90039,9347.070313,9382.639648,9382.639648
7/1/2010,9296.860352,9807.360352,9091.700195,9537.299805,9537.299805
8/1/2010,9574.639648,9750.879883,8807.410156,8824.05957,8824.05957
9/1/2010,8833.320313,9704.25,8796.450195,9369.349609,9369.349609
10/1/2010,9440.519531,9716.919922,9179.150391,9202.450195,9202.450195
11/1/2010,9166.849609,10157.96973,9123.620117,9937.040039,9937.040039
12/1/2010,9939.799805,10394.21973,9918.549805,10228.91992,10228.91992
1/1/2011,10352.19043,10620.57031,10182.57031,10237.91992,10237.91992
2/1/2011,10281.54981,10891.59961,10245.75,10624.08984,10624.08984
3/1/2011,10676.24023,10768.42969,8227.629883,9755.099609,9755.099609
4/1/2011,9757.280273,9849.740234,9405.19043,9849.740234,9849.740234
5/1/2011,9964.389648,10017.46973,9406.040039,9693.730469,9693.730469
6/1/2011,9708.049805,9849.69043,9318.620117,9816.089844,9816.089844
7/1/2011,9878.69043,10207.91016,9824.339844,9833.030273,9833.030273
8/1/2011,9907.040039,10040.12988,8619.209961,8955.200195,8955.200195
9/1/2011,9017.009766,9098.150391,8359.700195,8700.290039,8700.290039
10/1/2011,8567.980469,9152.389648,8343.009766,8988.389648,8988.389648
11/1/2011,8880.75,8946,8135.790039,8434.610352,8434.610352
12/1/2011,8581.200195,8729.80957,8272.259766,8455.349609,8455.349609
1/1/2012,8549.540039,8911.620117,8349.330078,8802.509766,8802.509766
2/1/2012,8789.05957,9866.410156,8780.099609,9723.240234,9723.240234
3/1/2012,9771.339844,10255.15039,9509.099609,10083.55957,10083.55957
4/1/2012,10161.71973,10190.34961,9388.139648,9520.889648,9520.889648
5/1/2012,9471.660156,9472.25,8455.129883,8542.730469,8542.730469
6/1/2012,8465.469727,9044.040039,8238.959961,9006.780273,9006.780273
7/1/2012,9103.790039,9136.019531,8328.019531,8695.05957,8695.05957
8/1/2012,8622.040039,9222.870117,8513.200195,8839.910156,8839.910156
9/1/2012,8836.610352,9288.530273,8646.030273,8870.160156,8870.160156
10/1/2012,8815.070313,9075.589844,8488.139648,8928.290039,8928.290039
11/1/2012,8931.709961,9492.910156,8619.450195,9446.009766,9446.009766
